"digit","word","file","duration_seconds","leading_silence_seconds","integrated_lufs","true_peak_dbfs","source_sha256","sha256"
0,"zero","0.wav",0.9,0.1,-20.68,-6.53,"197ef79ccf3632929f6f19b74d7955e1d750080dd83b15b1ec7e6e0b4312a452","fe6205c3b5d7c21640000d815cdf3c8e9ef1c69cd768172408fcee2b9e2177a6"
1,"one","1.wav",0.9,0.0999375,-20.71,-6.62,"041a60ecefadde24251d5f88a39b62c850c9111c5555948bf4cf804ca9f60b4a","6bb3553baeeb54bc92fd17734c455a457e1e5d16b2cd2e0ee3ec0315c11fb119"
2,"two","2.wav",0.9,0.0999792,-20.72,-9.1,"2c0f66be1ca8f4578540420cee74de7f14f0822c319e96513a84bf7651cc6a48","d653f7960e64485468d9df6c123932fa58e3b849e8437f724875d7470978b513"
3,"three","3.wav",0.9,0.100187,-20.68,-8.92,"cd1fe4d4249b120509f676d55887d58f23a5f15b681988b24f9f659b07201242","469cca63797e26d0dd58befc367e8e7c17c6d0ab25987ac24d95c1a38db80bde"
4,"four","4.wav",0.9,0.0999375,-20.68,-6.86,"38b804e315e90fe722cc7a1f6ed8526952d8f1c237af737dd2175c6df55ecc7c","aa1e127b1a8e557145a9770593f99add25db20dc7e73cd7cadbf1313b64f1968"
5,"five","5.wav",0.9,0.100021,-20.71,-6.17,"bbf094474f4324567031f2a8acb3eefe03600588a2b9832762d22baa69b7d21d","eee4ab2dec214aae35eb251194ff881f4e03147f110c71a170d95805348321cd"
6,"six","6.wav",0.9,0.100187,-20.72,-5.72,"ca9d9fa97419b264d12aa70dfd89f6cd5ba583aabcc9f864a2b61d3e2ab34dd8","efa21756fb1e4aedca2ef814760f95aeaba4585a3903e2128e79397b9226d194"
7,"seven","7.wav",0.9,0.0999792,-20.69,-6.36,"0752f53ad5b835cb204c45fd914f132b66d50f09e90556522e9fd94c78b8c50a","f38e782f8460995470b07a67f65be3989a3abfc119da14dce771afdbc099e1d8"
8,"eight","8.wav",0.9,0.0999792,-20.67,-8.31,"20ebdf6c60a7843fb84cd6d5f9e21ab387eb4cbf9be9e788fb1c4ae5bdfb3dfd","c64a9ecd0e51d1ce59b6ba948c7ef1c8ef113b6bd010e8ed6fdd009df98f2243"
9,"nine","9.wav",0.9,0.0999375,-20.7,-6.6,"c9702aaa2058899422605dfcd1676ba846cd69502defad5f273884489405d8ac","77a36653f64d20f317a48cc4b5f0813252d8f6f1986e684c7671e524b4413be1"
